ID,Rel Compact,Surface Area,Wall Area,Roof Area,Height,Orientation,Glazing Area,Glazing Distr,Outcome
31,0.79,637,343,147,7,2,0.4,5,42.3431166
32,0.9,563.5,318.5,122.5,7,5,0.25,1,31.87776763
33,0.64,784,343,220.5,3.5,4,0.1,5,15.3866051
34,0.76,661.5,416.5,122.5,7,2,0.25,3,35.79043704
35,0.9,563.5,318.5,122.5,7,3,0.25,3,32.37358185
36,0.76,661.5,416.5,122.5,7,3,0.25,1,36.13154409
37,0.9,563.5,318.5,122.5,7,3,0.1,4,28.09845358
38,0.79,637,343,147,7,2,0.25,4,40.19034919
39,0.74,686,245,220.5,3.5,2,0.1,4,9.743283419
40,0.64,784,343,220.5,3.5,5,0.1,2,15.22547471
41,0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.75755619
42,0.76,661.5,416.5,122.5,7,5,0.25,3,36.49102558
43,0.98,514.5,294,110.25,7,4,0.4,5,32.24762275
44,0.9,563.5,318.5,122.5,7,4,0.25,2,32.41334726
45,0.76,661.5,416.5,122.5,7,4,0.4,3,39.01834635
46,0.71,710.5,269.5,220.5,3.5,2,0.25,4,12.28402347
47,0.69,735,294,220.5,3.5,5,0.1,2,11.55777304
48,0.9,563.5,318.5,122.5,7,4,0.4,1,36.68404617
49,0.71,710.5,269.5,220.5,3.5,4,0,0,6.435335742
50,0.82,612.5,318.5,147,7,3,0.1,5,23.8077183
51,0.79,637,343,147,7,4,0,0,29.75612887
52,0.86,588,294,147,7,5,0.1,2,25.19688783
53,0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.41252695
54,0.66,759.5,318.5,220.5,3.5,2,0.25,3,12.94452961
55,0.79,637,343,147,7,3,0.4,4,41.71784807
56,0.79,637,343,147,7,3,0.25,3,38.23866081
57,0.69,735,294,220.5,3.5,4,0.25,4,12.7900361
58,0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66893641
59,0.69,735,294,220.5,3.5,3,0.25,4,13.07881343
60,0.79,637,343,147,7,4,0.25,1,39.86448753
61,0.74,686,245,220.5,3.5,2,0.25,1,12.53218609
62,0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.59367327
63,0.74,686,245,220.5,3.5,5,0.25,2,12.31335911
64,0.64,784,343,220.5,3.5,3,0.4,4,19.02517917
65,0.71,710.5,269.5,220.5,3.5,4,0.4,5,12.83100878
66,0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.76272385
67,0.69,735,294,220.5,3.5,5,0.1,5,11.08229831
68,0.64,784,343,220.5,3.5,3,0.25,5,16.87744997
69,0.69,735,294,220.5,3.5,4,0,0,6.84189591
70,0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.67650844
71,0.69,735,294,220.5,3.5,3,0.1,4,11.24606209
72,0.98,514.5,294,110.25,7,5,0.4,5,32.83769882
73,0.74,686,245,220.5,3.5,4,0.1,2,10.39788784
74,0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57933095
75,0.82,612.5,318.5,147,7,2,0.25,2,25.84617024
76,0.86,588,294,147,7,3,0.4,4,31.63627687
77,0.69,735,294,220.5,3.5,5,0.4,3,14.01912373
78,0.9,563.5,318.5,122.5,7,2,0.4,5,35.67138436
79,0.86,588,294,147,7,2,0.25,3,28.4140087
80,0.98,514.5,294,110.25,7,5,0.1,5,24.34465062
81,0.74,686,245,220.5,3.5,3,0.4,4,14.47046701
82,0.9,563.5,318.5,122.5,7,4,0.4,4,35.38834342
83,0.74,686,245,220.5,3.5,3,0.4,2,14.4050799
84,0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.42088802
85,0.79,637,343,147,7,3,0.25,1,40.10167802
86,0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.07085806
87,0.62,808.5,367.5,220.5,3.5,5,0,0,8.561771747
88,0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.70666556
89,0.64,784,343,220.5,3.5,4,0.4,1,19.4617929
90,0.69,735,294,220.5,3.5,5,0.25,4,12.82553608
91,0.66,759.5,318.5,220.5,3.5,2,0.4,1,15.26658109
92,0.69,735,294,220.5,3.5,3,0,0,6.772446811
93,0.71,710.5,269.5,220.5,3.5,5,0.4,3,13.96312209
94,0.66,759.5,318.5,220.5,3.5,5,0.4,3,14.71544927
95,0.62,808.5,367.5,220.5,3.5,4,0.4,2,17.29960981
96,0.62,808.5,367.5,220.5,3.5,3,0.1,4,12.95758755
97,0.98,514.5,294,110.25,7,2,0.4,4,32.80991321
98,0.98,514.5,294,110.25,7,4,0.1,2,24.23543652
99,0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.97824452
100,0.86,588,294,147,7,4,0.25,3,29.42308871
101,0.9,563.5,318.5,122.5,7,2,0.1,2,28.81579991
102,0.79,637,343,147,7,5,0.4,4,42.96766523
103,0.86,588,294,147,7,2,0.4,4,32.42695685
104,0.69,735,294,220.5,3.5,2,0.25,2,13.00669508
105,0.86,588,294,147,7,2,0.1,1,26.26929761
106,0.9,563.5,318.5,122.5,7,4,0.1,4,28.68720751
107,0.62,808.5,367.5,220.5,3.5,3,0.25,5,14.09324028
108,0.79,637,343,147,7,5,0.4,2,42.13478255
109,0.79,637,343,147,7,3,0.4,5,42.01023522
110,0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.1368588
111,0.86,588,294,147,7,2,0.4,3,31.28631007
112,0.82,612.5,318.5,147,7,5,0.4,4,29.53659386
113,0.86,588,294,147,7,3,0.1,2,27.01338694
114,0.86,588,294,147,7,3,0.1,1,27.06735478
115,0.66,759.5,318.5,220.5,3.5,2,0.4,3,15.27036378
116,0.74,686,245,220.5,3.5,2,0.25,3,11.84321441
117,0.69,735,294,220.5,3.5,3,0.4,4,14.58956814
118,0.69,735,294,220.5,3.5,2,0.4,3,14.44181272
119,0.74,686,245,220.5,3.5,3,0.1,2,10.38390832
120,0.79,637,343,147,7,4,0.25,4,38.23756282
121,0.62,808.5,367.5,220.5,3.5,3,0,0,8.246372583
122,0.76,661.5,416.5,122.5,7,2,0.1,2,33.07917111
123,0.64,784,343,220.5,3.5,5,0.1,3,15.50339914
124,0.82,612.5,318.5,147,7,2,0.4,2,28.99882404
125,0.66,759.5,318.5,220.5,3.5,3,0.25,4,13.09778723
126,0.86,588,294,147,7,2,0.1,4,26.42019965
127,0.74,686,245,220.5,3.5,3,0.25,4,12.39798053
128,0.82,612.5,318.5,147,7,5,0.1,3,24.15859526
129,0.98,514.5,294,110.25,7,2,0.4,5,32.78756786
130,0.82,612.5,318.5,147,7,2,0.1,1,23.46996885
131,0.9,563.5,318.5,122.5,7,2,0,0,20.81526779
132,0.98,514.5,294,110.25,7,4,0.4,4,32.32082801
133,0.9,563.5,318.5,122.5,7,2,0.4,3,34.22991049
134,0.64,784,343,220.5,3.5,4,0.25,3,16.57134793
135,0.74,686,245,220.5,3.5,3,0.1,4,10.18830462
136,0.62,808.5,367.5,220.5,3.5,5,0.25,4,14.45098648
137,0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.87043321
138,0.76,661.5,416.5,122.5,7,4,0.4,1,40.69426328
139,0.71,710.5,269.5,220.5,3.5,3,0,0,6.464933625
140,0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.21232731
141,0.69,735,294,220.5,3.5,4,0.25,1,12.84963323
142,0.9,563.5,318.5,122.5,7,4,0.25,3,32.70980382
143,0.9,563.5,318.5,122.5,7,3,0.4,5,35.00696306
144,0.76,661.5,416.5,122.5,7,3,0.4,3,39.76686941
145,0.69,735,294,220.5,3.5,4,0.4,4,14.5225679
146,0.64,784,343,220.5,3.5,2,0.1,5,15.10444385
147,0.79,637,343,147,7,2,0.4,1,41.43244286
148,0.64,784,343,220.5,3.5,2,0.1,4,15.41532624
149,0.66,759.5,318.5,220.5,3.5,4,0.25,3,12.84343505
150,0.9,563.5,318.5,122.5,7,4,0.1,3,29.59951663
151,0.79,637,343,147,7,5,0.1,4,37.10765038
152,0.79,637,343,147,7,5,0.1,3,36.76349083
153,0.76,661.5,416.5,122.5,7,3,0.25,2,36.00603275
154,0.9,563.5,318.5,122.5,7,3,0.4,3,35.13970794
155,0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.55939727
156,0.9,563.5,318.5,122.5,7,4,0.25,1,32.85646497
157,0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.4319299
158,0.74,686,245,220.5,3.5,4,0.1,5,10.24349221
159,0.82,612.5,318.5,147,7,3,0.4,2,29.51218116
160,0.79,637,343,147,7,5,0.4,3,42.20137748
161,0.9,563.5,318.5,122.5,7,3,0.1,1,29.92971248
162,0.74,686,245,220.5,3.5,3,0.25,5,11.72916659
163,0.64,784,343,220.5,3.5,3,0.25,3,17.0606051
164,0.98,514.5,294,110.25,7,4,0.1,4,24.10974714
165,0.98,514.5,294,110.25,7,4,0.25,3,28.20343346
166,0.74,686,245,220.5,3.5,3,0.1,3,10.35044915
167,0.62,808.5,367.5,220.5,3.5,4,0.25,5,13.91040496
168,0.98,514.5,294,110.25,7,5,0.1,2,24.24941927
169,0.76,661.5,416.5,122.5,7,2,0.25,5,35.80032869
170,0.79,637,343,147,7,3,0.4,2,43.20254912
171,0.76,661.5,416.5,122.5,7,2,0.1,1,32.80138371
172,0.69,735,294,220.5,3.5,5,0.4,2,14.63818711
173,0.82,612.5,318.5,147,7,4,0.25,4,25.66081583
174,0.74,686,245,220.5,3.5,4,0,0,5.859934769
175,0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.07500616
176,0.79,637,343,147,7,3,0.1,1,37.17034371
177,0.86,588,294,147,7,4,0.1,4,26.19790586
178,0.62,808.5,367.5,220.5,3.5,2,0.25,4,14.3193082
179,0.76,661.5,416.5,122.5,7,3,0.4,4,40.39899701
180,0.86,588,294,147,7,2,0.4,2,32.52627176
181,0.98,514.5,294,110.25,7,3,0.4,2,32.63404235
182,0.64,784,343,220.5,3.5,2,0.1,1,15.22868032
183,0.79,637,343,147,7,5,0.4,1,41.62615199
184,0.82,612.5,318.5,147,7,5,0.25,2,24.91798111
185,0.71,710.5,269.5,220.5,3.5,2,0.4,5,12.56108805
186,0.69,735,294,220.5,3.5,3,0.4,5,14.32982492
187,0.86,588,294,147,7,5,0.4,2,31.8751144
188,0.9,563.5,318.5,122.5,7,2,0.25,3,31.79314108
189,0.82,612.5,318.5,147,7,3,0.4,3,29.77753675
190,0.62,808.5,367.5,220.5,3.5,5,0.4,2,17.13239187
191,0.66,759.5,318.5,220.5,3.5,3,0.4,4,15.14896015
192,0.82,612.5,318.5,147,7,5,0.4,5,29.93437908
193,0.74,686,245,220.5,3.5,5,0.25,5,11.95250486
194,0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.55463129
195,0.66,759.5,318.5,220.5,3.5,5,0.25,2,13.01043677
196,0.64,784,343,220.5,3.5,4,0.1,1,15.38905116
197,0.76,661.5,416.5,122.5,7,2,0.4,3,39.33060421
198,0.71,710.5,269.5,220.5,3.5,5,0.25,4,12.26302527
199,0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.12073382
200,0.79,637,343,147,7,3,0.1,2,37.37303973
201,0.64,784,343,220.5,3.5,5,0.25,4,16.56705439
202,0.79,637,343,147,7,5,0.4,5,40.67821085
203,0.66,759.5,318.5,220.5,3.5,5,0.25,3,12.78861443
204,0.76,661.5,416.5,122.5,7,5,0.4,4,40.16506562
205,0.82,612.5,318.5,147,7,4,0.1,3,24.05466193
206,0.82,612.5,318.5,147,7,2,0.25,5,25.63917912
207,0.98,514.5,294,110.25,7,2,0.25,4,28.74027573
208,0.76,661.5,416.5,122.5,7,2,0.4,1,40.84239736
209,0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.58059957
210,0.69,735,294,220.5,3.5,5,0.4,4,14.60110423
211,0.98,514.5,294,110.25,7,5,0.1,1,24.49828745
212,0.82,612.5,318.5,147,7,5,0.1,4,24.2339244
213,0.86,588,294,147,7,3,0.4,1,32.33533654
214,0.98,514.5,294,110.25,7,5,0.4,4,32.70300734
215,0.98,514.5,294,110.25,7,5,0,0,15.56474354
216,0.98,514.5,294,110.25,7,2,0.4,2,32.78094629
217,0.76,661.5,416.5,122.5,7,4,0.25,3,35.37433799
218,0.9,563.5,318.5,122.5,7,2,0.1,3,28.22012819
219,0.74,686,245,220.5,3.5,2,0.25,5,12.26329729
220,0.9,563.5,318.5,122.5,7,2,0.4,1,36.36501281
221,0.98,514.5,294,110.25,7,2,0,0,15.55008185
222,0.69,735,294,220.5,3.5,3,0.25,5,12.18866717
223,0.69,735,294,220.5,3.5,2,0.25,4,12.85742768
224,0.62,808.5,367.5,220.5,3.5,4,0.25,3,14.10853571
225,0.64,784,343,220.5,3.5,2,0.1,2,15.27719413
226,0.9,563.5,318.5,122.5,7,5,0.25,3,32.2862155
227,0.74,686,245,220.5,3.5,5,0.25,3,11.76196984
228,0.9,563.5,318.5,122.5,7,3,0.25,1,33.55977101
229,0.82,612.5,318.5,147,7,4,0.1,5,23.01623289
230,0.82,612.5,318.5,147,7,5,0.25,5,25.4920649
231,0.9,563.5,318.5,122.5,7,5,0.1,5,28.96946872
232,0.82,612.5,318.5,147,7,4,0.1,1,23.55648407
233,0.9,563.5,318.5,122.5,7,5,0.25,5,32.58858207
234,0.79,637,343,147,7,2,0.4,4,42.79682478
235,0.71,710.5,269.5,220.5,3.5,5,0.4,4,14.68794197
236,0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.83931924
237,0.98,514.5,294,110.25,7,4,0.4,1,32.38728265
238,0.64,784,343,220.5,3.5,5,0,0,10.6770613
239,0.98,514.5,294,110.25,7,3,0.25,4,28.49808964
240,0.82,612.5,318.5,147,7,4,0.25,5,24.67293821
241,0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.60555773
242,0.64,784,343,220.5,3.5,4,0,0,10.84649096
243,0.86,588,294,147,7,3,0.25,4,28.22658476
244,0.82,612.5,318.5,147,7,3,0.1,3,23.96340382
245,0.82,612.5,318.5,147,7,4,0.1,4,23.67404538
246,0.69,735,294,220.5,3.5,4,0.1,5,11.20046899
247,0.64,784,343,220.5,3.5,2,0.1,3,15.16904896
248,0.76,661.5,416.5,122.5,7,4,0.25,1,36.95336074
249,0.98,514.5,294,110.25,7,3,0.1,5,24.26223503
250,0.64,784,343,220.5,3.5,3,0.25,4,17.00698606
251,0.98,514.5,294,110.25,7,5,0.1,3,24.36148569
252,0.82,612.5,318.5,147,7,2,0.25,4,25.66546455
253,0.82,612.5,318.5,147,7,2,0.1,2,23.76599395
254,0.64,784,343,220.5,3.5,3,0.1,4,15.21807679
255,0.71,710.5,269.5,220.5,3.5,3,0.25,3,12.15883296
256,0.79,637,343,147,7,4,0.1,2,36.94546723
257,0.64,784,343,220.5,3.5,2,0.4,1,19.66464343
258,0.69,735,294,220.5,3.5,5,0.1,3,11.14796912
259,0.69,735,294,220.5,3.5,4,0.1,4,11.0280134
260,0.62,808.5,367.5,220.5,3.5,5,0.1,4,12.99500982
261,0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.81548952
262,0.9,563.5,318.5,122.5,7,5,0.1,4,29.79864383
263,0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.23164842
264,0.98,514.5,294,110.25,7,5,0.25,4,28.61002729
265,0.62,808.5,367.5,220.5,3.5,3,0.4,2,17.32086014
266,0.66,759.5,318.5,220.5,3.5,2,0,0,6.887100376
267,0.76,661.5,416.5,122.5,7,4,0.25,5,35.95829271
268,0.71,710.5,269.5,220.5,3.5,5,0.4,5,12.41092192
269,0.76,661.5,416.5,122.5,7,2,0.4,2,41.00734444
270,0.79,637,343,147,7,2,0.25,5,39.96346901
271,0.64,784,343,220.5,3.5,5,0.1,4,15.02949386
272,0.71,710.5,269.5,220.5,3.5,4,0.25,4,12.20352184
273,0.76,661.5,416.5,122.5,7,4,0.4,5,39.3800716
274,0.69,735,294,220.5,3.5,4,0.4,5,14.42337968
275,0.76,661.5,416.5,122.5,7,2,0.4,5,38.60198416
276,0.74,686,245,220.5,3.5,2,0.1,5,10.39992379
277,0.9,563.5,318.5,122.5,7,2,0.25,1,32.77175033
278,0.86,588,294,147,7,4,0.25,5,28.44527481
279,0.64,784,343,220.5,3.5,3,0.1,2,15.14828553
280,0.76,661.5,416.5,122.5,7,3,0.1,5,33.11288863
281,0.98,514.5,294,110.25,7,3,0.4,4,32.65130947
282,0.86,588,294,147,7,5,0.1,3,26.49186331
283,0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.43493843
284,0.82,612.5,318.5,147,7,2,0.1,3,23.01343687
285,0.74,686,245,220.5,3.5,5,0.25,4,12.50016172
286,0.76,661.5,416.5,122.5,7,5,0.4,2,40.54567162
287,0.86,588,294,147,7,4,0.4,3,32.04446718
288,0.82,612.5,318.5,147,7,4,0.25,3,25.44443212
289,0.66,759.5,318.5,220.5,3.5,4,0.25,5,12.81745351
290,0.82,612.5,318.5,147,7,4,0.1,2,23.64479995
291,0.76,661.5,416.5,122.5,7,4,0.1,1,32.8247376
292,0.9,563.5,318.5,122.5,7,3,0.4,2,36.68817766
293,0.76,661.5,416.5,122.5,7,5,0.1,1,32.33548598
294,0.62,808.5,367.5,220.5,3.5,2,0,0,8.628708649
295,0.79,637,343,147,7,4,0.4,2,42.94438397
296,0.86,588,294,147,7,4,0.4,1,32.08489512
297,0.79,637,343,147,7,3,0.25,4,38.73489332
298,0.86,588,294,147,7,2,0.4,5,32.44258253
299,0.79,637,343,147,7,3,0.25,2,40.30257189
300,0.86,588,294,147,7,4,0.25,2,29.2288057
301,0.74,686,245,220.5,3.5,2,0.25,2,12.42607321
302,0.69,735,294,220.5,3.5,2,0.1,3,11.17758857
303,0.98,514.5,294,110.25,7,5,0.4,3,32.77655339
304,0.74,686,245,220.5,3.5,3,0.25,3,11.96704839
305,0.79,637,343,147,7,5,0.25,4,40.10175433
306,0.98,514.5,294,110.25,7,3,0.1,2,24.23830976
307,0.79,637,343,147,7,2,0,0,28.34506349
308,0.82,612.5,318.5,147,7,5,0.1,2,22.76815519
309,0.74,686,245,220.5,3.5,5,0.1,4,10.11895911
310,0.98,514.5,294,110.25,7,4,0.1,3,24.18177152
311,0.9,563.5,318.5,122.5,7,4,0.1,1,29.11475813
312,0.9,563.5,318.5,122.5,7,5,0,0,19.61481449
313,0.9,563.5,318.5,122.5,7,5,0.4,1,36.03129653
314,0.64,784,343,220.5,3.5,4,0.25,1,17.49514532
315,0.71,710.5,269.5,220.5,3.5,4,0.4,3,13.88799955
316,0.74,686,245,220.5,3.5,4,0.25,1,12.3477174
317,0.71,710.5,269.5,220.5,3.5,3,0.4,1,14.44668721
318,0.9,563.5,318.5,122.5,7,3,0.1,2,29.72813363
319,0.86,588,294,147,7,2,0.25,1,29.51985534
320,0.76,661.5,416.5,122.5,7,4,0.25,4,36.84238964
321,0.64,784,343,220.5,3.5,4,0.1,2,15.30813203
322,0.98,514.5,294,110.25,7,4,0.25,2,28.05320513
323,0.71,710.5,269.5,220.5,3.5,3,0.4,5,12.64543011
324,0.69,735,294,220.5,3.5,5,0.25,2,12.88968506
325,0.82,612.5,318.5,147,7,4,0.4,3,29.48755589
326,0.62,808.5,367.5,220.5,3.5,4,0.4,3,16.4178966
327,0.9,563.5,318.5,122.5,7,4,0.1,5,28.03177497
328,0.69,735,294,220.5,3.5,3,0.1,5,11.10087938
329,0.98,514.5,294,110.25,7,5,0.25,1,28.40938325
330,0.82,612.5,318.5,147,7,4,0.4,2,28.74889609
331,0.71,710.5,269.5,220.5,3.5,2,0,0,6.452950663
332,0.76,661.5,416.5,122.5,7,4,0.4,2,40.63426943
333,0.64,784,343,220.5,3.5,4,0.4,5,18.12785663
334,0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.0488819
335,0.82,612.5,318.5,147,7,3,0.25,3,25.37900314
336,0.74,686,245,220.5,3.5,2,0.4,1,14.51389676
337,0.76,661.5,416.5,122.5,7,3,0.25,3,36.56706334
338,0.64,784,343,220.5,3.5,3,0.4,3,18.72868682
339,0.82,612.5,318.5,147,7,2,0.1,4,23.92478547
340,0.76,661.5,416.5,122.5,7,5,0.25,1,36.30184313
341,0.66,759.5,318.5,220.5,3.5,5,0,0,7.166794834
342,0.82,612.5,318.5,147,7,3,0.25,5,25.07114056
343,0.82,612.5,318.5,147,7,4,0.25,1,26.88234676
344,0.64,784,343,220.5,3.5,3,0.25,1,17.31900888
345,0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.44712142
346,0.76,661.5,416.5,122.5,7,5,0.4,1,40.38789159
347,0.79,637,343,147,7,4,0.4,1,42.58989498
348,0.79,637,343,147,7,5,0.1,2,36.07987795
349,0.86,588,294,147,7,2,0.25,2,29.25984662
350,0.69,735,294,220.5,3.5,3,0.25,3,12.44712292
351,0.86,588,294,147,7,4,0.25,4,29.14924163
352,0.62,808.5,367.5,220.5,3.5,4,0.4,1,17.14356927
353,0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.55730866
354,0.64,784,343,220.5,3.5,2,0,0,10.79064272
355,0.69,735,294,220.5,3.5,2,0.1,1,11.13735797
356,0.82,612.5,318.5,147,7,5,0.4,2,28.04742185
357,0.64,784,343,220.5,3.5,2,0.25,5,16.81447305
358,0.79,637,343,147,7,4,0.1,1,36.85838848
359,0.74,686,245,220.5,3.5,4,0.25,4,12.25850923
360,0.71,710.5,269.5,220.5,3.5,3,0.4,4,14.86252884
361,0.74,686,245,220.5,3.5,5,0.4,1,14.59313581
362,0.76,661.5,416.5,122.5,7,2,0.4,4,40.75733327
363,0.64,784,343,220.5,3.5,4,0.4,2,18.84206909
364,0.64,784,343,220.5,3.5,3,0.25,2,16.88062344
365,0.76,661.5,416.5,122.5,7,5,0.4,5,39.95793653
366,0.79,637,343,147,7,2,0.1,1,35.64622295
367,0.64,784,343,220.5,3.5,5,0.25,1,17.36491506
368,0.98,514.5,294,110.25,7,3,0,0,15.54699321
369,0.76,661.5,416.5,122.5,7,4,0.25,2,36.89553467
370,0.76,661.5,416.5,122.5,7,2,0,0,24.64671434
371,0.69,735,294,220.5,3.5,3,0.1,2,11.36717058
372,0.86,588,294,147,7,5,0.25,2,28.36878881
373,0.74,686,245,220.5,3.5,4,0.4,5,14.1579971
374,0.76,661.5,416.5,122.5,7,4,0.4,4,40.5081639
375,0.69,735,294,220.5,3.5,5,0.25,1,12.61592592
376,0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.46759316
377,0.74,686,245,220.5,3.5,3,0.4,3,14.36864009
378,0.69,735,294,220.5,3.5,3,0.4,2,14.70749605
379,0.74,686,245,220.5,3.5,4,0.4,2,14.13747649
380,0.79,637,343,147,7,5,0,0,28.67918246
381,0.62,808.5,367.5,220.5,3.5,5,0.4,3,16.62941484
382,0.79,637,343,147,7,3,0.4,3,41.25979477
383,0.64,784,343,220.5,3.5,5,0.4,4,18.83173782
384,0.82,612.5,318.5,147,7,3,0.4,1,29.8513448
385,0.86,588,294,147,7,4,0,0,19.30836489
386,0.62,808.5,367.5,220.5,3.5,3,0.1,2,13.09529146
387,0.62,808.5,367.5,220.5,3.5,2,0.1,1,13.19983082
388,0.82,612.5,318.5,147,7,4,0,0,17.05513593
389,0.9,563.5,318.5,122.5,7,4,0.25,4,32.15501186
390,0.86,588,294,147,7,2,0,0,19.69523484
391,0.69,735,294,220.5,3.5,4,0.4,2,14.4056659
392,0.9,563.5,318.5,122.5,7,3,0.4,1,37.26458342
393,0.64,784,343,220.5,3.5,3,0.4,2,18.90059778
394,0.76,661.5,416.5,122.5,7,5,0.1,5,33.35219679
395,0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.71112026
396,0.76,661.5,416.5,122.5,7,3,0.1,4,32.33625307
397,0.64,784,343,220.5,3.5,4,0.1,3,15.00522209
398,0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.24275679
399,0.86,588,294,147,7,5,0.4,5,32.18345623
400,0.64,784,343,220.5,3.5,2,0.25,1,17.39831168
401,0.66,759.5,318.5,220.5,3.5,2,0.4,5,14.86782896
402,0.9,563.5,318.5,122.5,7,5,0.4,3,34.27475523
403,0.79,637,343,147,7,3,0.1,4,35.83201543
404,0.62,808.5,367.5,220.5,3.5,3,0.4,1,17.05786662
405,0.71,710.5,269.5,220.5,3.5,4,0.25,5,12.35176024
406,0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.11020469
407,0.62,808.5,367.5,220.5,3.5,3,0.4,5,16.61328293
408,0.62,808.5,367.5,220.5,3.5,2,0.4,1,15.0965435
409,0.76,661.5,416.5,122.5,7,4,0.1,4,33.26349497
410,0.86,588,294,147,7,4,0.4,5,31.00719569
411,0.66,759.5,318.5,220.5,3.5,5,0.4,4,15.33238085
412,0.9,563.5,318.5,122.5,7,2,0.4,2,35.96650357
413,0.74,686,245,220.5,3.5,4,0.25,5,11.56859849
414,0.98,514.5,294,110.25,7,5,0.25,5,28.62234344
415,0.9,563.5,318.5,122.5,7,4,0.25,5,31.52543436
416,0.74,686,245,220.5,3.5,5,0.1,3,10.33775482
417,0.98,514.5,294,110.25,7,5,0.1,4,24.39038757
418,0.74,686,245,220.5,3.5,2,0.1,2,10.34873864
419,0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.33380012
420,0.76,661.5,416.5,122.5,7,3,0.4,5,39.68210311
421,0.9,563.5,318.5,122.5,7,4,0,0,20.62830638
422,0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.42872302
423,0.98,514.5,294,110.25,7,2,0.25,2,28.64311312
424,0.69,735,294,220.5,3.5,5,0.4,5,14.22694942
425,0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.5251556
426,0.98,514.5,294,110.25,7,2,0.25,5,28.59741593
427,0.9,563.5,318.5,122.5,7,4,0.4,3,35.03705115
428,0.76,661.5,416.5,122.5,7,3,0.1,1,32.29934009
