"","ID","Rel.Compact","Surface.Area","Wall.Area","Roof.Area","Height","Orientation","Glazing.Area","Glazing.Distr","Outcome"
"612",612,0.62,808.5,367.5,220.5,3.5,3,0.4,4,16.84299541
"508",508,0.86,588,294,147,7,2,0.4,1,31.69733958
"172",172,0.69,735,294,220.5,3.5,5,0.4,2,14.63818711
"117",117,0.69,735,294,220.5,3.5,3,0.4,4,14.58956814
"485",485,0.9,563.5,318.5,122.5,7,2,0.1,5,29.85645563
"335",335,0.82,612.5,318.5,147,7,3,0.25,3,25.37900314
"640",640,0.64,784,343,220.5,3.5,4,0.25,2,17.04567542
"573",573,0.64,784,343,220.5,3.5,2,0.25,2,17.25070033
"622",622,0.79,637,343,147,7,5,0.25,5,38.52775278
"43",43,0.98,514.5,294,110.25,7,4,0.4,5,32.24762275
"584",584,0.62,808.5,367.5,220.5,3.5,4,0.4,5,16.49165017
"593",593,0.64,784,343,220.5,3.5,4,0.1,4,15.29255152
"137",137,0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.87043321
"37",37,0.9,563.5,318.5,122.5,7,3,0.1,4,28.09845358
"373",373,0.74,686,245,220.5,3.5,4,0.4,5,14.1579971
"602",602,0.76,661.5,416.5,122.5,7,2,0.25,4,36.94076985
"33",33,0.64,784,343,220.5,3.5,4,0.1,5,15.3866051
"39",39,0.74,686,245,220.5,3.5,2,0.1,4,9.743283419
"436",436,0.69,735,294,220.5,3.5,4,0.4,3,14.25716864
"127",127,0.74,686,245,220.5,3.5,3,0.25,4,12.39798053
"20",20,0.66,759.5,318.5,220.5,3.5,4,0,0,7.08392189
"134",134,0.64,784,343,220.5,3.5,4,0.25,3,16.57134793
"486",486,0.86,588,294,147,7,4,0.1,3,27.02307452
"644",644,0.62,808.5,367.5,220.5,3.5,2,0.4,4,16.45253378
"496",496,0.62,808.5,367.5,220.5,3.5,3,0.4,3,16.2075531
"529",529,0.79,637,343,147,7,2,0.1,4,36.93715408
"280",280,0.76,661.5,416.5,122.5,7,3,0.1,5,33.11288863
"48",48,0.9,563.5,318.5,122.5,7,4,0.4,1,36.68404617
"494",494,0.98,514.5,294,110.25,7,3,0.25,2,28.6025474
"321",321,0.64,784,343,220.5,3.5,4,0.1,2,15.30813203
"578",578,0.98,514.5,294,110.25,7,4,0.25,1,28.29004775
"558",558,0.64,784,343,220.5,3.5,2,0.25,4,16.79639544
"51",51,0.79,637,343,147,7,4,0,0,29.75612887
"397",397,0.64,784,343,220.5,3.5,4,0.1,3,15.00522209
"468",468,0.64,784,343,220.5,3.5,5,0.25,5,16.96113144
"551",551,0.62,808.5,367.5,220.5,3.5,2,0.4,3,16.67332132
"6",6,0.98,514.5,294,110.25,7,3,0.25,1,28.17488927
"59",59,0.69,735,294,220.5,3.5,3,0.25,4,13.07881343
"128",128,0.82,612.5,318.5,147,7,5,0.1,3,24.15859526
"341",341,0.66,759.5,318.5,220.5,3.5,5,0,0,7.166794834
"531",531,0.86,588,294,147,7,3,0.1,4,25.29067985
"3",3,0.9,563.5,318.5,122.5,7,3,0.4,4,35.9374156
"244",244,0.82,612.5,318.5,147,7,3,0.1,3,23.96340382
"271",271,0.64,784,343,220.5,3.5,5,0.1,4,15.02949386
"565",565,0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.87709652
"564",564,0.74,686,245,220.5,3.5,2,0.4,3,14.12860355
"495",495,0.9,563.5,318.5,122.5,7,5,0.25,2,31.64843788
"454",454,0.9,563.5,318.5,122.5,7,3,0.1,5,29.19457858
"388",388,0.82,612.5,318.5,147,7,4,0,0,17.05513593
"268",268,0.71,710.5,269.5,220.5,3.5,5,0.4,5,12.41092192
"186",186,0.69,735,294,220.5,3.5,3,0.4,5,14.32982492
"638",638,0.74,686,245,220.5,3.5,4,0.1,4,9.966247764
"78",78,0.9,563.5,318.5,122.5,7,2,0.4,5,35.67138436
"182",182,0.64,784,343,220.5,3.5,2,0.1,1,15.22868032
"62",62,0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.59367327
"253",253,0.82,612.5,318.5,147,7,2,0.1,2,23.76599395
"215",215,0.98,514.5,294,110.25,7,5,0,0,15.56474354
"45",45,0.76,661.5,416.5,122.5,7,4,0.4,3,39.01834635
"400",400,0.64,784,343,220.5,3.5,2,0.25,1,17.39831168
"14",14,0.86,588,294,147,7,3,0.4,2,32.68750016
"440",440,0.98,514.5,294,110.25,7,3,0.4,3,32.53448327
"85",85,0.79,637,343,147,7,3,0.25,1,40.10167802
"623",623,0.71,710.5,269.5,220.5,3.5,2,0.4,2,14.79200621
"555",555,0.98,514.5,294,110.25,7,4,0.1,5,24.01872651
"392",392,0.9,563.5,318.5,122.5,7,3,0.4,1,37.26458342
"210",210,0.69,735,294,220.5,3.5,5,0.4,4,14.60110423
"420",420,0.76,661.5,416.5,122.5,7,3,0.4,5,39.68210311
"22",22,0.86,588,294,147,7,5,0.25,4,29.69436666
"407",407,0.62,808.5,367.5,220.5,3.5,3,0.4,5,16.61328293
"600",600,0.98,514.5,294,110.25,7,5,0.4,1,32.55453752
"250",250,0.64,784,343,220.5,3.5,3,0.25,4,17.00698606
"386",386,0.62,808.5,367.5,220.5,3.5,3,0.1,2,13.09529146
"525",525,0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.82075317
"539",539,0.71,710.5,269.5,220.5,3.5,5,0.25,5,12.30525226
"455",455,0.74,686,245,220.5,3.5,3,0.1,5,10.37947496
"316",316,0.74,686,245,220.5,3.5,4,0.25,1,12.3477174
"399",399,0.86,588,294,147,7,5,0.4,5,32.18345623
"552",552,0.79,637,343,147,7,4,0.25,5,39.21735378
"298",298,0.86,588,294,147,7,2,0.4,5,32.44258253
"302",302,0.69,735,294,220.5,3.5,2,0.1,3,11.17758857
"449",449,0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.54964369
"462",462,0.86,588,294,147,7,4,0.4,2,32.18368791
"324",324,0.69,735,294,220.5,3.5,5,0.25,2,12.88968506
"154",154,0.9,563.5,318.5,122.5,7,3,0.4,3,35.13970794
"332",332,0.76,661.5,416.5,122.5,7,4,0.4,2,40.63426943
"337",337,0.76,661.5,416.5,122.5,7,3,0.25,3,36.56706334
"517",517,0.62,808.5,367.5,220.5,3.5,2,0.25,3,14.01631669
"338",338,0.64,784,343,220.5,3.5,3,0.4,3,18.72868682
"334",334,0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.0488819
"411",411,0.66,759.5,318.5,220.5,3.5,5,0.4,4,15.33238085
"469",469,0.62,808.5,367.5,220.5,3.5,2,0.25,5,13.66988269
"365",365,0.76,661.5,416.5,122.5,7,5,0.4,5,39.95793653
"605",605,0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.99692275
"615",615,0.82,612.5,318.5,147,7,2,0.4,1,29.24514049
"562",562,0.79,637,343,147,7,3,0.1,3,35.64808446
"163",163,0.64,784,343,220.5,3.5,3,0.25,3,17.0606051
"474",474,0.82,612.5,318.5,147,7,4,0.4,5,29.03895459
"54",54,0.66,759.5,318.5,220.5,3.5,2,0.25,3,12.94452961
"297",297,0.79,637,343,147,7,3,0.25,4,38.73489332
"311",311,0.9,563.5,318.5,122.5,7,4,0.1,1,29.11475813
"140",140,0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.21232731
"165",165,0.98,514.5,294,110.25,7,4,0.25,3,28.20343346
"166",166,0.74,686,245,220.5,3.5,3,0.1,3,10.35044915
"92",92,0.69,735,294,220.5,3.5,3,0,0,6.772446811
"413",413,0.74,686,245,220.5,3.5,4,0.25,5,11.56859849
"156",156,0.9,563.5,318.5,122.5,7,4,0.25,1,32.85646497
"157",157,0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.4319299
"79",79,0.86,588,294,147,7,2,0.25,3,28.4140087
"169",169,0.76,661.5,416.5,122.5,7,2,0.25,5,35.80032869
"581",581,0.86,588,294,147,7,5,0.1,1,25.20772241
"273",273,0.76,661.5,416.5,122.5,7,4,0.4,5,39.3800716
"550",550,0.9,563.5,318.5,122.5,7,3,0.1,3,29.02194325
"35",35,0.9,563.5,318.5,122.5,7,3,0.25,3,32.37358185
"543",543,0.69,735,294,220.5,3.5,4,0.1,3,10.98291286
"301",301,0.74,686,245,220.5,3.5,2,0.25,2,12.42607321
"563",563,0.9,563.5,318.5,122.5,7,3,0,0,21.39677841
"493",493,0.66,759.5,318.5,220.5,3.5,4,0.4,3,14.79795184
"518",518,0.74,686,245,220.5,3.5,4,0.4,3,14.11780363
"317",317,0.71,710.5,269.5,220.5,3.5,3,0.4,1,14.44668721
"483",483,0.69,735,294,220.5,3.5,5,0.25,3,12.01981941
"77",77,0.69,735,294,220.5,3.5,5,0.4,3,14.01912373
"447",447,0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.18077751
"519",519,0.66,759.5,318.5,220.5,3.5,2,0.25,5,12.83844883
"464",464,0.76,661.5,416.5,122.5,7,5,0.4,3,39.68541586
"189",189,0.82,612.5,318.5,147,7,3,0.4,3,29.77753675
"65",65,0.71,710.5,269.5,220.5,3.5,4,0.4,5,12.83100878
"251",251,0.98,514.5,294,110.25,7,5,0.1,3,24.36148569
"56",56,0.79,637,343,147,7,3,0.25,3,38.23866081
"70",70,0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.67650844
"104",104,0.69,735,294,220.5,3.5,2,0.25,2,13.00669508
"514",514,0.62,808.5,367.5,220.5,3.5,4,0,0,8.422119857
"58",58,0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66893641
"120",120,0.79,637,343,147,7,4,0.25,4,38.23756282
"569",569,0.64,784,343,220.5,3.5,4,0.4,4,18.88282178
"195",195,0.66,759.5,318.5,220.5,3.5,5,0.25,2,13.01043677
"114",114,0.86,588,294,147,7,3,0.1,1,27.06735478
"145",145,0.69,735,294,220.5,3.5,4,0.4,4,14.5225679
"174",174,0.74,686,245,220.5,3.5,4,0,0,5.859934769
"533",533,0.9,563.5,318.5,122.5,7,5,0.1,2,28.04313749
"475",475,0.98,514.5,294,110.25,7,3,0.25,3,28.5815239
"241",241,0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.60555773
"456",456,0.64,784,343,220.5,3.5,4,0.25,4,16.70619733
"535",535,0.76,661.5,416.5,122.5,7,5,0.1,3,33.14962975
"327",327,0.9,563.5,318.5,122.5,7,4,0.1,5,28.03177497
"318",318,0.9,563.5,318.5,122.5,7,3,0.1,2,29.72813363
"218",218,0.9,563.5,318.5,122.5,7,2,0.1,3,28.22012819
"390",390,0.86,588,294,147,7,2,0,0,19.69523484
"279",279,0.64,784,343,220.5,3.5,3,0.1,2,15.14828553
"509",509,0.98,514.5,294,110.25,7,2,0.4,3,32.75110661
"150",150,0.9,563.5,318.5,122.5,7,4,0.1,3,29.59951663
"433",433,0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.09834249
"109",109,0.79,637,343,147,7,3,0.4,5,42.01023522
"427",427,0.9,563.5,318.5,122.5,7,4,0.4,3,35.03705115
"648",648,0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.34726023
"416",416,0.74,686,245,220.5,3.5,5,0.1,3,10.33775482
"585",585,0.74,686,245,220.5,3.5,5,0.4,3,13.82574639
"304",304,0.74,686,245,220.5,3.5,3,0.25,3,11.96704839
"368",368,0.98,514.5,294,110.25,7,3,0,0,15.54699321
"393",393,0.64,784,343,220.5,3.5,3,0.4,2,18.90059778
"142",142,0.9,563.5,318.5,122.5,7,4,0.25,3,32.70980382
"125",125,0.66,759.5,318.5,220.5,3.5,3,0.25,4,13.09778723
"307",307,0.79,637,343,147,7,2,0,0,28.34506349
"463",463,0.76,661.5,416.5,122.5,7,3,0.4,1,39.97652372
"276",276,0.74,686,245,220.5,3.5,2,0.1,5,10.39992379
"471",471,0.66,759.5,318.5,220.5,3.5,4,0.4,5,14.96269129
"520",520,0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.89744955
"633",633,0.86,588,294,147,7,5,0.1,4,26.85198075
"570",570,0.79,637,343,147,7,4,0.1,4,35.42908791
"515",515,0.69,735,294,220.5,3.5,2,0.1,4,11.18513674
"93",93,0.71,710.5,269.5,220.5,3.5,5,0.4,3,13.96312209
"167",167,0.62,808.5,367.5,220.5,3.5,4,0.25,5,13.91040496
"336",336,0.74,686,245,220.5,3.5,2,0.4,1,14.51389676
"634",634,0.69,735,294,220.5,3.5,3,0.4,3,14.59828842
"516",516,0.76,661.5,416.5,122.5,7,4,0.1,3,32.18033216
"122",122,0.76,661.5,416.5,122.5,7,2,0.1,2,33.07917111
"123",123,0.64,784,343,220.5,3.5,5,0.1,3,15.50339914
"315",315,0.71,710.5,269.5,220.5,3.5,4,0.4,3,13.88799955
"387",387,0.62,808.5,367.5,220.5,3.5,2,0.1,1,13.19983082
"108",108,0.79,637,343,147,7,5,0.4,2,42.13478255
"450",450,0.74,686,245,220.5,3.5,5,0.1,2,10.56548926
"235",235,0.71,710.5,269.5,220.5,3.5,5,0.4,4,14.68794197
"155",155,0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.55939727
"417",417,0.98,514.5,294,110.25,7,5,0.1,4,24.39038757
"322",322,0.98,514.5,294,110.25,7,4,0.25,2,28.05320513
"308",308,0.82,612.5,318.5,147,7,5,0.1,2,22.76815519
"636",636,0.9,563.5,318.5,122.5,7,5,0.1,1,28.13323693
"53",53,0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.41252695
"201",201,0.64,784,343,220.5,3.5,5,0.25,4,16.56705439
"25",25,0.74,686,245,220.5,3.5,4,0.4,4,14.26009673
"227",227,0.74,686,245,220.5,3.5,5,0.25,3,11.76196984
"438",438,0.76,661.5,416.5,122.5,7,3,0,0,23.8451636
"351",351,0.86,588,294,147,7,4,0.25,4,29.14924163
"185",185,0.71,710.5,269.5,220.5,3.5,2,0.4,5,12.56108805
"579",579,0.79,637,343,147,7,3,0,0,29.99621436
"376",376,0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.46759316
"375",375,0.69,735,294,220.5,3.5,5,0.25,1,12.61592592
"377",377,0.74,686,245,220.5,3.5,3,0.4,3,14.36864009
"131",131,0.9,563.5,318.5,122.5,7,2,0,0,20.81526779
"15",15,0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.83711342
"412",412,0.9,563.5,318.5,122.5,7,2,0.4,2,35.96650357
"173",173,0.82,612.5,318.5,147,7,4,0.25,4,25.66081583
"110",110,0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.1368588
"229",229,0.82,612.5,318.5,147,7,4,0.1,5,23.01623289
"421",421,0.9,563.5,318.5,122.5,7,4,0,0,20.62830638
"482",482,0.69,735,294,220.5,3.5,3,0.25,2,13.00754377
"147",147,0.79,637,343,147,7,2,0.4,1,41.43244286
"91",91,0.66,759.5,318.5,220.5,3.5,2,0.4,1,15.26658109
"26",26,0.98,514.5,294,110.25,7,3,0.1,3,24.26442607
"111",111,0.86,588,294,147,7,2,0.4,3,31.28631007
"371",371,0.69,735,294,220.5,3.5,3,0.1,2,11.36717058
"282",282,0.86,588,294,147,7,5,0.1,3,26.49186331
"132",132,0.98,514.5,294,110.25,7,4,0.4,4,32.32082801
"257",257,0.64,784,343,220.5,3.5,2,0.4,1,19.66464343
"432",432,0.79,637,343,147,7,2,0.1,5,37.053888
"491",491,0.9,563.5,318.5,122.5,7,5,0.1,3,28.93057186
"513",513,0.79,637,343,147,7,2,0.25,2,38.72289342
"224",224,0.62,808.5,367.5,220.5,3.5,4,0.25,3,14.10853571
"68",68,0.64,784,343,220.5,3.5,3,0.25,5,16.87744997
"425",425,0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.5251556
"616",616,0.74,686,245,220.5,3.5,2,0.25,4,12.23979407
"153",153,0.76,661.5,416.5,122.5,7,3,0.25,2,36.00603275
"61",61,0.74,686,245,220.5,3.5,2,0.25,1,12.53218609
"101",101,0.9,563.5,318.5,122.5,7,2,0.1,2,28.81579991
"196",196,0.64,784,343,220.5,3.5,4,0.1,1,15.38905116
"130",130,0.82,612.5,318.5,147,7,2,0.1,1,23.46996885
"639",639,0.82,612.5,318.5,147,7,5,0.4,3,28.86873934
"620",620,0.69,735,294,220.5,3.5,2,0.4,1,14.66253743
"129",129,0.98,514.5,294,110.25,7,2,0.4,5,32.78756786
"329",329,0.98,514.5,294,110.25,7,5,0.25,1,28.40938325
"403",403,0.79,637,343,147,7,3,0.1,4,35.83201543
"188",188,0.9,563.5,318.5,122.5,7,2,0.25,3,31.79314108
"367",367,0.64,784,343,220.5,3.5,5,0.25,1,17.36491506
"159",159,0.82,612.5,318.5,147,7,3,0.4,2,29.51218116
"389",389,0.9,563.5,318.5,122.5,7,4,0.25,4,32.15501186
"187",187,0.86,588,294,147,7,5,0.4,2,31.8751144
"536",536,0.9,563.5,318.5,122.5,7,2,0.25,2,32.54260073
"8",8,0.98,514.5,294,110.25,7,4,0.25,4,28.20334518
"348",348,0.79,637,343,147,7,5,0.1,2,36.07987795
"582",582,0.71,710.5,269.5,220.5,3.5,2,0.4,3,14.06705968
"199",199,0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.12073382
"277",277,0.9,563.5,318.5,122.5,7,2,0.25,1,32.77175033
"610",610,0.82,612.5,318.5,147,7,2,0,0,17.25380059
"505",505,0.66,759.5,318.5,220.5,3.5,3,0.4,2,15.2202967
"259",259,0.69,735,294,220.5,3.5,4,0.1,4,11.0280134
"625",625,0.98,514.5,294,110.25,7,2,0.1,3,24.21141863
"347",347,0.79,637,343,147,7,4,0.4,1,42.58989498
"291",291,0.76,661.5,416.5,122.5,7,4,0.1,1,32.8247376
"590",590,0.71,710.5,269.5,220.5,3.5,4,0.4,4,14.59975533
"544",544,0.9,563.5,318.5,122.5,7,2,0.1,1,28.85809497
"232",232,0.82,612.5,318.5,147,7,4,0.1,1,23.55648407
"286",286,0.76,661.5,416.5,122.5,7,5,0.4,2,40.54567162
"41",41,0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.75755619
"124",124,0.82,612.5,318.5,147,7,2,0.4,2,28.99882404
"84",84,0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.42088802
"477",477,0.82,612.5,318.5,147,7,2,0.4,3,28.62651412
"7",7,0.69,735,294,220.5,3.5,5,0.25,5,12.33655397
"618",618,0.82,612.5,318.5,147,7,3,0.1,1,24.14240259
"523",523,0.69,735,294,220.5,3.5,2,0.4,5,14.15916025
"592",592,0.62,808.5,367.5,220.5,3.5,5,0.25,3,13.795073
"378",378,0.69,735,294,220.5,3.5,3,0.4,2,14.70749605
"158",158,0.74,686,245,220.5,3.5,4,0.1,5,10.24349221
"613",613,0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.2026302
"339",339,0.82,612.5,318.5,147,7,2,0.1,4,23.92478547
"86",86,0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.07085806
"245",245,0.82,612.5,318.5,147,7,4,0.1,4,23.67404538
"380",380,0.79,637,343,147,7,5,0,0,28.67918246
"362",362,0.76,661.5,416.5,122.5,7,2,0.4,4,40.75733327
"577",577,0.82,612.5,318.5,147,7,5,0.25,4,26.09871909
"12",12,0.86,588,294,147,7,3,0.4,5,31.94166311
"547",547,0.82,612.5,318.5,147,7,3,0.25,4,24.93278958
"646",646,0.66,759.5,318.5,220.5,3.5,2,0.4,4,15.43980726
"74",74,0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57933095
"410",410,0.86,588,294,147,7,4,0.4,5,31.00719569
"419",419,0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.33380012
"212",212,0.82,612.5,318.5,147,7,5,0.1,4,24.2339244
"356",356,0.82,612.5,318.5,147,7,5,0.4,2,28.04742185
"404",404,0.62,808.5,367.5,220.5,3.5,3,0.4,1,17.05786662
"38",38,0.79,637,343,147,7,2,0.25,4,40.19034919
"170",170,0.79,637,343,147,7,3,0.4,2,43.20254912
"567",567,0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.86094553
"138",138,0.76,661.5,416.5,122.5,7,4,0.4,1,40.69426328
"269",269,0.76,661.5,416.5,122.5,7,2,0.4,2,41.00734444
"628",628,0.74,686,245,220.5,3.5,2,0.4,5,14.2723825
"444",444,0.71,710.5,269.5,220.5,3.5,5,0.4,2,14.89370048
"292",292,0.9,563.5,318.5,122.5,7,3,0.4,2,36.68817766
"406",406,0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.11020469
"272",272,0.71,710.5,269.5,220.5,3.5,4,0.25,4,12.20352184
"76",76,0.86,588,294,147,7,3,0.4,4,31.63627687
"69",69,0.69,735,294,220.5,3.5,4,0,0,6.84189591
"24",24,0.9,563.5,318.5,122.5,7,5,0.4,5,35.11248339
"178",178,0.62,808.5,367.5,220.5,3.5,2,0.25,4,14.3193082
"466",466,0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.63355494
"313",313,0.9,563.5,318.5,122.5,7,5,0.4,1,36.03129653
"88",88,0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.70666556
