"","ID","Rel.Compact","Surface.Area","Wall.Area","Roof.Area","Height","Orientation","Glazing.Area","Glazing.Distr","Outcome"
"526",526,0.64,784,343,220.5,3.5,2,0.4,3,18.42465787
"527",527,0.98,514.5,294,110.25,7,3,0.4,1,32.22351671
"530",530,0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.79151675
"559",559,0.74,686,245,220.5,3.5,5,0.4,4,14.59350805
"568",568,0.64,784,343,220.5,3.5,5,0.1,5,15.37233464
"575",575,0.9,563.5,318.5,122.5,7,2,0.1,4,29.1859348
"583",583,0.74,686,245,220.5,3.5,3,0.4,1,14.52655741
"586",586,0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.78410426
"589",589,0.64,784,343,220.5,3.5,2,0.4,5,17.64530237
"598",598,0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.28566431
"601",601,0.86,588,294,147,7,2,0.25,5,29.54027455
"603",603,0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.5480469
"604",604,0.82,612.5,318.5,147,7,5,0.4,1,28.61579958
"607",607,0.64,784,343,220.5,3.5,5,0.4,3,18.56880412
"626",626,0.66,759.5,318.5,220.5,3.5,5,0.4,1,15.20950776
"627",627,0.71,710.5,269.5,220.5,3.5,4,0.4,2,14.44183467
"630",630,0.76,661.5,416.5,122.5,7,3,0.25,4,36.42685941
"631",631,0.9,563.5,318.5,122.5,7,5,0.4,4,36.4799996
"632",632,0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.16005715
"635",635,0.66,759.5,318.5,220.5,3.5,3,0.4,1,15.35013975
"643",643,0.76,661.5,416.5,122.5,7,2,0.1,4,33.09736736
